Description,Origin School,Destination School,Course #,Title,Enrollments
2020 Fall,GSD,FAS,AFRAMER  197 01,"Poverty, Race, and Health",1
2020 Fall,GSD,FAS,AFVS  108 1,Stranger than Fiction,1
2020 Fall,GSD,FAS,AFVS  112 1,Drawing 2: Model Witness,3
2020 Fall,GSD,FAS,AFVS  133,"Sun & Shadow, Sculpture Studio",1
2020 Fall,GSD,FAS,AFVS  141BR 1,Making Mischief: A Studio Based Seminar,1
2020 Fall,GSD,FAS,AFVS  144M 1,Photography and Ecology,1
2020 Fall,GSD,FAS,AFVS  184E,"Under Surveillance: Media, Security, and the Loss of Privacy",2
2020 Fall,GSD,FAS,AFVS  231,Studio Language,1
2020 Fall,GSD,FAS,AFVS  241,New Media Theory,3
2020 Fall,GSD,FAS,AFVS  271,Proseminar in Film and Visual Studies: Theory,1
2020 Fall,GSD,FAS,ANTHRO 1270,"Sick: 10,000 Years of Health and Disease",1
2020 Fall,GSD,FAS,ANTHRO 2690,"Middle East Ethnography: Discourse, Politics, and Culture",1
2020 Fall,GSD,FAS,ANTHRO 2859,"Colonial Encounters, Postcolonial Disorders",2
2020 Fall,GSD,FAS,APCOMP  207,Systems Development for Computational Science,1
2020 Fall,GSD,FAS,APCOMP  209A,Data Science 1: Introduction to Data Science,1
2020 Fall,GSD,FAS,ARABICAA,Elementary Arabic I,1
2020 Fall,GSD,FAS,CHNSEBA 006,Elementary Modern Chinese,1
2020 Fall,GSD,FAS,CHNSLIT  285 01,The Literary Life of Things in China,1
2020 Fall,GSD,FAS,COMPLIT  188,Futurisms (a comparative history),1
2020 Fall,GSD,FAS,COMPSCI   50,Introduction to Computer Science,16
2020 Fall,GSD,FAS,COMPSCI   61,Systems Programming and Machine Organization,2
2020 Fall,GSD,FAS,COMPSCI   96,System Design Projects: Machine Learning for Social Impact,1
2020 Fall,GSD,FAS,COMPSCI  109A,Data Science 1: Introduction to Data Science,7
2020 Fall,GSD,FAS,COMPSCI  109A 002,Data Science 1: Introduction to Data Science,9
2020 Fall,GSD,FAS,COMPSCI  171,Visualization,9
2020 Fall,GSD,FAS,COMPSCI  171 002,Visualization,2
2020 Fall,GSD,FAS,COMPSCI  182,Planning and Learning Methods in AI,1
2020 Fall,GSD,FAS,COMPSCI  279R,Research Topics in Human-Computer Interaction,6
2020 Fall,GSD,FAS,ECON   10A,Principles of Economics (Microeconomics),3
2020 Fall,GSD,FAS,ECON 1057,Game Theory with Applications to Social Behavior,1
2020 Fall,GSD,FAS,ECON 1420,American Economic Policy,1
2020 Fall,GSD,FAS,EMR  137,Asian American Mobility and Transpacific Movements,1
2020 Fall,GSD,FAS,EMR  140,Contemporary Immigration Policy and Educational Practice,1
2020 Fall,GSD,FAS,ENG-SCI  143,Computer Vision,4
2020 Fall,GSD,FAS,ENG-SCI  192,Materials Selection and Design,2
2020 Fall,GSD,FAS,ENG-SCI  298AR,Innovating in Health Care,2
2020 Fall,GSD,FAS,ENG-SCI  298DR,Methodologies in Design Engineering,9
2020 Fall,GSD,FAS,ENGLISH   90SM,"Speculative Modes: Fiction, Technology, Justice",1
2020 Fall,GSD,FAS,ENGLISH  294Z,On Beauty: Graduate Seminar,1
2020 Fall,GSD,FAS,ENGLISHCBBR,Intermediate Poetry: Workshop,1
2020 Fall,GSD,FAS,ENGLISHCBF,Breaking Form: Creative Writing Workshop,2
2020 Fall,GSD,FAS,ENGLISHCHCR,Advanced Poetry: Workshop,1
2020 Fall,GSD,FAS,ENGLISHCVB,Fiction Writing: Workshop,1
2020 Fall,GSD,FAS,FOLKMYTH  130,"The Folklore of Emergency: Change, Continuity, and Communal Creativity Amid Crisis",1
2020 Fall,GSD,FAS,FOLKMYTH  168,Magic and Faith in Medieval Medicine,1
2020 Fall,GSD,FAS,GENED 1093,"Who Lives, Who Dies: Reimagining Global Health",1
2020 Fall,GSD,FAS,GENED 1171,Justice: Ethics in an Age of Pandemic and Racial Reckoning,4
2020 Fall,GSD,FAS,GOV   51,Data Analysis and Politics,1
2020 Fall,GSD,FAS,GOV 1008,Introduction to Geographic Information Systems,5
2020 Fall,GSD,FAS,GOV 2001,Quantitative Social Science Methods I,1
2020 Fall,GSD,FAS,HAA   18K,Introduction to the Arts of Japan,1
2020 Fall,GSD,FAS,HAA   71,"'Making Buildings Beautiful': Politics, Power, and Architecture",1
2020 Fall,GSD,FAS,HAA  173K,Stranger than Fiction,1
2020 Fall,GSD,FAS,HAA  177G,Workshop of Revolution:  From Studio to Street After 1917,2
2020 Fall,GSD,FAS,HAA  186X,Chinese Sonic Painting: How to Picture Voice,1
2020 Fall,GSD,FAS,HAA  274,"Art, Race, and Politics",1
2020 Fall,GSD,FAS,HIST 1006 01,Native American and Indigenous Studies: An Introduction,1
2020 Fall,GSD,FAS,HIST 1036 01,Modern South Asia,1
2020 Fall,GSD,FAS,HIST 1323 01,"German Social Thought, Nietzsche to Habermas",2
2020 Fall,GSD,FAS,HIST 1902 01,Narrative History: Art and Argument,1
2020 Fall,GSD,FAS,HIST 1908 01,Racial Capitalism and the Black Radical Tradition,1
2020 Fall,GSD,FAS,HIST 1931 01,"Slavery, Disease, and Race: Brazil in the Atlantic World",1
2020 Fall,GSD,FAS,HIST 1939 01,Economic History of Modern China,1
2020 Fall,GSD,FAS,HIST 2955A 01,History of Global Capitalism: Seminar,1
2020 Fall,GSD,FAS,HISTSCI  197,Why Trust Science?,1
2020 Fall,GSD,FAS,ITAL   11,Beginning Italian II - Parliamo Italiano! The Art & Craft of Italy,1
2020 Fall,GSD,FAS,ITAL  111,Italian Cinema: 10 Masterpieces,1
2020 Fall,GSD,FAS,JAPANBA 003,Elementary Japanese,2
2020 Fall,GSD,FAS,KOREANBA,Elementary Korean,1
2020 Fall,GSD,FAS,MBB  980F 1,"Creativity Research: Eccentrics, Geniuses, and Harvard Students",1
2020 Fall,GSD,FAS,MCB   80,Neurobiology of Behavior,1
2020 Fall,GSD,FAS,MCB  145,Neurobiology of Perception and Decision Making,1
2020 Fall,GSD,FAS,MEDVLSTD  250,At Cross Purposes: The Crusades in Material Culture,1
2020 Fall,GSD,FAS,MUSIC  171R,Creative Music: Composer-Pianists,1
2020 Fall,GSD,FAS,PSY 1652R,Laboratory in Early Cognitive Development,1
2020 Fall,GSD,FAS,SOCIOL 3313,Urban Theory and Data Lab,1
2020 Fall,GSD,FAS,STAT  104,Introduction to Quantitative Methods for Economics,1
2020 Fall,GSD,FAS,STAT  110,Introduction to Probability,2
2020 Fall,GSD,FAS,STAT  123,Quantitative Finance,1
2020 Fall,GSD,FAS,TDM  149,"Latine Movement: Embodied Intersections of Latin Dance, Music, and Communal Practice",1
2020 Fall,GSD,FAS,TDM  150,Directorial Concepts and Set Design of the 20th and 21st Centuries,7
2020 Fall,GSD,FAS,TWIAA,Elementary Twi,1
2020 Fall,GSD,FAS,WOMGEN 1469,"Luxury and Commodity Pleasures: Histories of Gender, Sex, and Racial Capitalism",2
2020 Fall,GSD,HBSM,HBSMBA 1452 2,Financial Management of Smaller Firms,1
2020 Fall,GSD,HBSM,HBSMBA 1562 00,The Moral Leader,1
2020 Fall,GSD,HBSM,HBSMBA 1684 1,Real Property,1
2020 Fall,GSD,HBSM,HBSMBA 1684 2,Real Property,3
2020 Fall,GSD,HBSM,HBSMBA 1908 00,Business at the Base of the Pyramid,1
2020 Fall,GSD,HBSM,HBSMBA 1952 00,Retailing,3
2020 Fall,GSD,HBSM,HBSMBA 2060 1,Managing Human Capital,2
2020 Fall,GSD,HBSM,HBSMBA 2241 00,Negotiation Intensive Course (Q1),3
2020 Fall,GSD,HBSM,HBSMBA 6107 00,Field Course: Lab to Market,3
2020 Fall,GSD,HBSM,HBSMBA 6614 00,Field Course: Scaling Minority Businesses,1
2020 Fall,GSD,HBSM,HBSMBA 6701 00,Field Course: Product Management 101,3
2020 Fall,GSD,HBSM,HBSMBA 6932 1,Field Course: Entrepreneurial Marketing,1
2020 Fall,GSD,HDS,HDS 2038 01,Liturgical Theology,1
2020 Fall,GSD,HDS,HDS 2064 01,"The Climate of Unknowing:  A Portal Into Beauty, Terror, and the Moral Imagination",2
2020 Fall,GSD,HDS,HDS 3689 01,African Religion in the Diaspora,1
2020 Fall,GSD,HGSE,EDUA090 01,Crafting a Compelling and Rigorous Proposal,1
2020 Fall,GSD,HGSE,EDUA501 01,Negotiation Workshop,1
2020 Fall,GSD,HGSE,EDUA801 01,Education Policy Analysis and Research in Comparative Perspective,1
2020 Fall,GSD,HGSE,EDUAH125 01,Science-Driven Innovation in the Early Childhood Ecosystem,2
2020 Fall,GSD,HGSE,EDUS310G 01,Slow Looking: The Art and Practice of Learning through Observation,1
2020 Fall,GSD,HGSE,EDUT550 01,Designing for Learning by Creating,1
2020 Fall,GSD,HKS,API  121 B,"Recessions, Growth, and Macroeconomic Policy",1
2020 Fall,GSD,HKS,API  126,American Economic Policy,1
2020 Fall,GSD,HKS,API  141 A,Finance,3
2020 Fall,GSD,HKS,API  141 B,Finance,5
2020 Fall,GSD,HKS,API  201 C,Quantitative Analysis and Empirical Methods,1
2020 Fall,GSD,HKS,API  222 A,Machine Learning and Big Data Analytics,1
2020 Fall,GSD,HKS,BGP  235M A,Private Capital for Public Purpose: Impact Investing and Its Siblings,3
2020 Fall,GSD,HKS,BGP  610,The Political Economy of Trade,1
2020 Fall,GSD,HKS,DEV  130 B,"Why Are So Many Countries Poor, Volatile, and Unequal?",1
2020 Fall,GSD,HKS,DEV  210 A,Public Finance in Theory and Practice,2
2020 Fall,GSD,HKS,DEV  210 B,Public Finance in Theory and Practice,4
2020 Fall,GSD,HKS,DPI  115,The American Presidency,1
2020 Fall,GSD,HKS,DPI  235 A,Economic Justice: Theory and Practice,1
2020 Fall,GSD,HKS,DPI  235 B,Economic Justice: Theory and Practice,1
2020 Fall,GSD,HKS,DPI  391,"Race, Inequality, and American Democracy",4
2020 Fall,GSD,HKS,DPI  460,Latin American Politics and Policymaking,1
2020 Fall,GSD,HKS,DPI  535,"Making Change When Change is Hard: the Law, Politics, and Policy of Social Change",1
2020 Fall,GSD,HKS,DPI  662 A,Digital Government,4
2020 Fall,GSD,HKS,DPI  662 B,Digital Government,4
2020 Fall,GSD,HKS,DPI  678M A1,Product Management and Society: Building Technology in the Public Interest,5
2020 Fall,GSD,HKS,DPI  678M A2,Product Management and Society: Building Technology in the Public Interest,2
2020 Fall,GSD,HKS,DPI  802M A1,The Arts of Communication,1
2020 Fall,GSD,HKS,IGA  140,"Geopolitics, Human Rights, and the Future of Statecraft",1
2020 Fall,GSD,HKS,IGA  237M B,Future Issues in Cyber-Security Policy,1
2020 Fall,GSD,HKS,IGA  342M,Human Rights Dilemmas in Child Protection,1
2020 Fall,GSD,HKS,IGA  355M,"Migration, Refugees, and Human Rights",2
2020 Fall,GSD,HKS,IGA  671M A,Policy and Social Innovations for the Changing Arctic,2
2020 Fall,GSD,HKS,MLD  201 A,Exercising Leadership: The Politics of Change,2
2020 Fall,GSD,HKS,MLD  201 B,Exercising Leadership: The Politics of Change,8
2020 Fall,GSD,HKS,MLD  202 A,"Leadership from the Inside Out: The Capacity to Lead and Stay Alive–Self, Identity, and Freedom",2
2020 Fall,GSD,HKS,MLD  224 B,Behavioral Science of Negotiations,6
2020 Fall,GSD,HKS,MLD  234,Conducting Negotiation on the Frontlines: Advanced Techniques for Crisis Situations,1
2020 Fall,GSD,HKS,MLD  304 A,Science of Behavior Change,1
2020 Fall,GSD,HKS,MLD  304 B,Science of Behavior Change,10
2020 Fall,GSD,HKS,MLD  352 A,"The Leadership System: Leaders, Followers, Contexts",1
2020 Fall,GSD,HKS,MLD  411M A,Introduction to Budgeting and Financial Management,1
2020 Fall,GSD,HKS,MLD  411M B,Introduction to Budgeting and Financial Management,2
2020 Fall,GSD,HKS,MLD  601 A,Operations Management,2
2020 Fall,GSD,HKS,MLD  802M A,Nonprofit Management and Leadership,1
2020 Fall,GSD,HKS,MLD  836M,Social Entrepreneurship/Social Enterprise Deep Dive: How to Operationalize & Scale for Social Impact,2
2020 Fall,GSD,HKS,MLD  840 A,Entrepreneurial Finance,7
2020 Fall,GSD,HKS,MLD  840 B,Entrepreneurial Finance,1
2020 Fall,GSD,HLS,HLS 2002 0FA0,American Indian Law,1
2020 Fall,GSD,HLS,HLS 2218 0FA0,Real Estate,2
2020 Fall,GSD,HLS,HLS 2437 0FA0,Advanced Topics in Jewish Law and Legal Theory,1
2020 Fall,GSD,HLS,HLS 2591 0FA0,"Facilitation Workshop: Leading Challenging Conversations in Business, Politics, and the Community",1
2020 Fall,GSD,HLS,HLS 2701 0FA0,Christian Legal Perspectives,1
2020 Fall,GSD,HSPH,BST  267 1,Introduction to Social and Biological Networks,1
2020 Fall,GSD,HSPH,EH  249 1,"Built Environment, Nature, and Health",1
2020 Fall,GSD,HSPH,ID  205 1,Societal Response to Disasters,1
2020 Fall,GSD,HSPH,MPH  102 1,Health Systems,1
2020 Fall,GSD,HSPH,SBS  201 1,Society and Health,1
2020 Fall,GSD,HSPH,SBS  201LAB 4,Society and Health,1
2020 Fall,GSD,HSPH,SBS  515 1,Health Literacy: Practical Tools to Make Information More Equitable,1
2020 Fall,GSD,MIT,MIT 1.462 1,Entrepreneurship in the Built Environment,2
2020 Fall,GSD,MIT,MIT 11.236 1,Participatory Action Research: Theory and Application,1
2020 Fall,GSD,MIT,MIT 11.259 1,Entrepreneurial Negotiation,1
2020 Fall,GSD,MIT,MIT 11.345 1,Entrepreneurship in the Built Environment,2
2020 Fall,GSD,MIT,MIT 11.351 1,Real Estate Ventures I: Negotiating Development-Phase Agreements,1
2020 Fall,GSD,MIT,MIT 11.354 1,Strategic Real Estate Development,6
2020 Fall,GSD,MIT,MIT 11.401 1,"Introduction to Housing, Community, and Economic Development",2
2020 Fall,GSD,MIT,MIT 11.407 1,Economic Development Planning and Policy,2
2020 Fall,GSD,MIT,MIT 11.430 1,Leadership in Real Estate,1
2020 Fall,GSD,MIT,MIT 11.431 1,Real Estate Finance and Investment,3
2020 Fall,GSD,MIT,MIT 11.433 1,Real Estate Economics,4
2020 Fall,GSD,MIT,MIT 11.450 1,Real Estate Development Building Systems,1
2020 Fall,GSD,MIT,MIT 11.454 1,"Big Data, Visualization, and Society",10
2020 Fall,GSD,MIT,MIT 11.455 1,Financial Decision Making in Real Estate and Other Markets,1
2020 Fall,GSD,MIT,MIT 11.485 1,Southern Urbanisms,4
2020 Fall,GSD,MIT,MIT 11.529 1,Mobility Ventures: Driving Innovation in Transportation Systems,1
2020 Fall,GSD,MIT,MIT 11.540 1,Urban Transportation Planning and Policy,5
2020 Fall,GSD,MIT,MIT 11.S942 1,Special Subject: Urban Studies and Planning,1
2020 Fall,GSD,MIT,MIT 11.S944 1,Special Subject: Urban Studies and Planning,2
2020 Fall,GSD,MIT,MIT 11.S946 1,Special Subject: Urban Studies and Planning,1
2020 Fall,GSD,MIT,MIT 11.S954 1,Special Seminar: Urban Studies and Planning,2
2020 Fall,GSD,MIT,MIT 11.S966 1,Special Subject: Real Estate,1
2020 Fall,GSD,MIT,MIT 11.S968 1,Special Seminar: Real Estate,1
2020 Fall,GSD,MIT,MIT 15.011 1,Economic Analysis for Business Decisions,2
2020 Fall,GSD,MIT,MIT 15.012 L01,Applied Macro- and International Economics,2
2020 Fall,GSD,MIT,MIT 15.071 1,The Analytics Edge,1
2020 Fall,GSD,MIT,MIT 15.310 1,"People, Teams, and Organizations",2
2020 Fall,GSD,MIT,MIT 15.375 1,Foundations of AI Ventures,1
2020 Fall,GSD,MIT,MIT 15.399 L02,Entrepreneurship Lab,1
2020 Fall,GSD,MIT,MIT 15.401 L01,Managerial Finance,3
2020 Fall,GSD,MIT,MIT 15.401 L02,Managerial Finance,2
2020 Fall,GSD,MIT,MIT 15.401 L03,Managerial Finance,3
2020 Fall,GSD,MIT,MIT 15.402 L01,Corporate Finance,1
2020 Fall,GSD,MIT,MIT 15.402 L02,Corporate Finance,1
2020 Fall,GSD,MIT,MIT 15.425 L02,Corporate Finance,3
2020 Fall,GSD,MIT,MIT 15.426 1,Real Estate Finance and Investment,3
2020 Fall,GSD,MIT,MIT 15.493 1,Practice of Finance: Perspectives on Investment Management,1
2020 Fall,GSD,MIT,MIT 15.665 L01,Power and Negotiation,1
2020 Fall,GSD,MIT,MIT 15.814 L01,Marketing Innovation,2
2020 Fall,GSD,MIT,MIT 15.941 1,Leadership in Real Estate,1
2020 Fall,GSD,MIT,MIT 18.062 1,Mathematics for Computer Science,1
2020 Fall,GSD,MIT,MIT 2.075 1,Mechanics of Soft Materials,1
2020 Fall,GSD,MIT,MIT 2.51 1,Intermediate Heat and Mass Transfer,1
2020 Fall,GSD,MIT,MIT 2.982 1,Ecology and Sustainability of Coastal Ecosystems,1
2020 Fall,GSD,MIT,MIT 2.S972 1,Undergraduate Special Subject in Mechanical Engineering,1
2020 Fall,GSD,MIT,MIT 4.051 1,The Human Factor in Innovation and Design Strategy,3
2020 Fall,GSD,MIT,MIT 4.193 1,Independent Study in Architecture Design,1
2020 Fall,GSD,MIT,MIT 4.252 1,Introduction to Urban Design and Development,2
2020 Fall,GSD,MIT,MIT 4.315 1,Advanced Workshop in Artistic Practice and Transdisciplinary Research,1
2020 Fall,GSD,MIT,MIT 4.323 1,Introduction to Three-Dimensional Art Work,1
2020 Fall,GSD,MIT,MIT 4.361 1,Performance Art Workshop,1
2020 Fall,GSD,MIT,MIT 4.362 1,Performance Art Workshop,3
2020 Fall,GSD,MIT,MIT 4.450 1,Computational Structural Design and Optimization,1
2020 Fall,GSD,MIT,MIT 4.540 1,Introduction to Shape Grammars I,2
2020 Fall,GSD,MIT,MIT 4.562 1,Advanced Visualization: Architecture in Motion Graphics,1
2020 Fall,GSD,MIT,MIT 4.566 1,Advanced Projects in Digital Media,2
2020 Fall,GSD,MIT,MIT 4.580 1,Inquiry into Computation and Design,1
2020 Fall,GSD,MIT,MIT 4.607 1,Thinking About Architecture: In History and At Present,4
2020 Fall,GSD,MIT,MIT 4.614 1,Introduction to Islamic Architecture,2
2020 Fall,GSD,MIT,MIT 4.619 1,Historiography of Islamic Art and Architecture,1
2020 Fall,GSD,MIT,MIT 4.S13 1,Special Subject: Architecture Design,1
2020 Fall,GSD,MIT,MIT 6.0001 1,Introduction to Computer Science Programming in Python,8
2020 Fall,GSD,MIT,MIT 6.0002 1,Introduction to Computational Thinking and Data Science,5
2020 Fall,GSD,MIT,MIT 6.006 1,Introduction to Algorithms,1
2020 Fall,GSD,MIT,MIT 6.009 1,Fundamentals of Programming,1
2020 Fall,GSD,MIT,MIT 6.031 1,Software Construction,2
2020 Fall,GSD,MIT,MIT 6.034 1,Artificial Intelligence,2
2020 Fall,GSD,MIT,MIT 6.036 1,Introduction to Machine Learning,4
2020 Fall,GSD,MIT,MIT 6.170 1,Software Design,2
2020 Fall,GSD,MIT,MIT 6.839 1,Computational Design and Fabrication,1
2020 Fall,GSD,MIT,MIT 6.849 1,"Geometric Folding Algorithms: Linkages, Origami, Polyhedra",1
2020 Fall,GSD,MIT,MIT 6.S081 1,Special Subject in Electrical Engineering and Computer Science,1
2020 Fall,GSD,MIT,MIT 9.07 1,Statistics for Brain and Cognitive Science,1
2020 Fall,GSD,MIT,MIT MAS.720 1,Scalable Civic Action,3
2020 Fall,GSD,MIT,MIT MAS.834 1,Tangible Interfaces,6
2020 Fall,GSD,MIT,MIT MAS.S60 1,Special Subject in Media Technology,11
2020 Fall,GSD,MIT,MIT MAS.S66 1,Special Subject in Media Technology,1
2020 Fall,GSD,MIT,MIT MAS.S68 1,Special Subject in Media Technology,13
2020 Fall,GSD,MIT,MIT SCM.294 1,Digital Supply Chain Transformation,1
2020 Fall,GSD,MIT,MIT STS.444 1,Technology and Self: Things and Thinking,1
2021 Spring,GSD,FAS,AFRAMER  119X LEC,"Chocolate, Culture, and the Politics of Food",1
2021 Spring,GSD,FAS,AFRAMER  123Z LEC,American Democracy,1
2021 Spring,GSD,FAS,AFRAMER  174 LEC,The African City,2
2021 Spring,GSD,FAS,AFRAMER  192Y LEC,The Paradox of the Garden: Good and Evil in Paradise,1
2021 Spring,GSD,FAS,AFRAMER  196Y 1,African Literature and the Poetics of Memory,1
2021 Spring,GSD,FAS,AFVS   12 1,Drawing 1: Drawing as a Visual Language,1
2021 Spring,GSD,FAS,AFVS   14 S1,Making Things [Breaking Things],1
2021 Spring,GSD,FAS,AFVS   16R 1,Relief Printmaking: Beginning Studio Course,2
2021 Spring,GSD,FAS,AFVS   35R,Building Thought: Sculpture Course,1
2021 Spring,GSD,FAS,AFVS   70,The Art of Film,3
2021 Spring,GSD,FAS,AFVS  118C 1,Curating Contemporary Art,1
2021 Spring,GSD,FAS,AFVS  161L 1,Enter the Mediaverse,1
2021 Spring,GSD,FAS,AFVS  252,Sonic Ethnography,1
2021 Spring,GSD,FAS,AFVS  254 1,Audio in Multimodal Practice,3
2021 Spring,GSD,FAS,AFVS  352 1,CMP Projects: Production and Publication,1
2021 Spring,GSD,FAS,AFVS  390 1,Graduate Studio Workshop,1
2021 Spring,GSD,FAS,ANTHRO 2710,"Event, Time, Memory",1
2021 Spring,GSD,FAS,APCOMP  209B,Data Science 2: Advanced Topics in Data Science,1
2021 Spring,GSD,FAS,APCOMP  221,Critical Thinking in Data Science,1
2021 Spring,GSD,FAS,APCOMP  221 002,Critical Thinking in Data Science,1
2021 Spring,GSD,FAS,ARABICAB 002,Elementary Arabic II,1
2021 Spring,GSD,FAS,CHNSEBB 005,Elementary Modern Chinese,1
2021 Spring,GSD,FAS,COMPSCI   10,Elements of Data Science,3
2021 Spring,GSD,FAS,COMPSCI   50,Introduction to Computer Science,6
2021 Spring,GSD,FAS,COMPSCI   51,Abstraction and Design in Computation,1
2021 Spring,GSD,FAS,COMPSCI  109B,Data Science 2: Advanced Topics in Data Science,3
2021 Spring,GSD,FAS,COMPSCI  141,Computing Hardware,1
2021 Spring,GSD,FAS,COMPSCI  179,Design of Useful and Usable Interactive Systems,1
2021 Spring,GSD,FAS,COMPSCI  234R,Topics on Computation in Networks and Crowds,1
2021 Spring,GSD,FAS,COMPSCI  288 001`,AI for Social Impact,3
2021 Spring,GSD,FAS,ECON   50A,Using Big Data to Solve Economic and Social Problems with Laboratory Component,1
2021 Spring,GSD,FAS,ECON 1123,Introduction to Econometrics,2
2021 Spring,GSD,FAS,ECON 1661,Economics of Climate Change and Environmental Policy,2
2021 Spring,GSD,FAS,ECON 1800,The Economics of Cities,1
2021 Spring,GSD,FAS,ENG-SCI   27,Aesthetic Pleasure and Smart Design: Janus Faces the Future,1
2021 Spring,GSD,FAS,ENG-SCI  291,Nano Micro Macro: Adaptive Material Laboratory,3
2021 Spring,GSD,FAS,ENG-SCI  301,SEAS Teaching Practicum,1
2021 Spring,GSD,FAS,ENGLISH  180MW,Modern Women Writers,1
2021 Spring,GSD,FAS,ENGLISHCFMR,Interiority & Experience: Writing Character-Driven Fiction: Workshop,2
2021 Spring,GSD,FAS,ENGLISHCVR,Fiction Writing: Workshop,1
2021 Spring,GSD,FAS,ESPP   90S SEM,"The Technology, Economics, and Public Policy of Renewable Energy",2
2021 Spring,GSD,FAS,GENED 1054,Political Economy and Its Future,1
2021 Spring,GSD,FAS,GENED 1156,Modern Art and Modernity,1
2021 Spring,GSD,FAS,GOV   94YW,Comparative Political Development,1
2021 Spring,GSD,FAS,GOV 1005 002,Big Data,1
2021 Spring,GSD,FAS,GOV 1009,Advanced Geographical Information Systems Workshop,5
2021 Spring,GSD,FAS,HAA  178N,"Architecture in the ""museum""",2
2021 Spring,GSD,FAS,HAA  183N,Nihonga: Modern Japanese Painting,1
2021 Spring,GSD,FAS,HAA  229P,Word and Image in Persian Painting: Seminar,1
2021 Spring,GSD,FAS,HIST 1015 01,Native American Women: History and Myth,1
2021 Spring,GSD,FAS,HIST 1911 01,Pacific History,1
2021 Spring,GSD,FAS,KOREAN  130B,Pre-advanced Korean,1
2021 Spring,GSD,FAS,LING  101,The Science of Language: An Introduction,1
2021 Spring,GSD,FAS,MATH  152 SEM,Discrete Mathematics,1
2021 Spring,GSD,FAS,MUSIC  167,Storytelling with Sounds,1
2021 Spring,GSD,FAS,MUSIC  170R,Songwrighter’s Apothecary Lab,1
2021 Spring,GSD,FAS,MUSIC  284R,CPCI Seminar: Narrative Soundscape Composition,2
2021 Spring,GSD,FAS,OEB   52,Biology of Plants,2
2021 Spring,GSD,FAS,OEB   55,"Ecology: Populations, Communities, and Ecosystems",1
2021 Spring,GSD,FAS,OEB  109,Conservation Ecology and Practice,1
2021 Spring,GSD,FAS,OEB  128 SEM,From Darwin to Derrida: The Evolution of Meaning and Purpose,1
2021 Spring,GSD,FAS,PHIL  175T,"The Ethics of Technology and Design: Autonomy, Community, Virtue, and Vice",1
2021 Spring,GSD,FAS,SOCIOL  128,Models of Social Science Research,1
2021 Spring,GSD,FAS,SOCIOL 2276,Seminar on Networks and Decision-Making,1
2021 Spring,GSD,FAS,SOCIOL 3313,Urban Theory and Data Lab,1
2021 Spring,GSD,FAS,SPANSH   11 005,"Introduction to the Spanish-speaking World II: Social, Cultural, and Sustainability Topics",2
2021 Spring,GSD,FAS,TDM  112R,Advanced Acting: Contemporary Texts,1
2021 Spring,GSD,FAS,WOMGEN 1413,Friendship as Way of Life,1
2021 Spring,GSD,HBSD,HBSDOC 4882 00,Micro Topics in Organizational Behavior,1
2021 Spring,GSD,HBSM,HBSMBA 1230 00,Revitalizing the Corporation: Modern Corporate Strategy,2
2021 Spring,GSD,HBSM,HBSMBA 1293 00,Strategy for Entrepreneurs Intensive: Critical Choices in Creating a Successful Enterprise,2
2021 Spring,GSD,HBSM,HBSMBA 1306 2,Business Analysis and Valuation Using Financial Statements,1
2021 Spring,GSD,HBSM,HBSMBA 1484 00,Real Estate Private Equity,1
2021 Spring,GSD,HBSM,HBSMBA 1487 00,"Cities, Structures, and Climate Shocks",3
2021 Spring,GSD,HBSM,HBSMBA 1524 00,Reimagining Capitalism: Business and Big Problems,1
2021 Spring,GSD,HBSM,HBSMBA 1635 00,Entrepreneurial Management in a Turnaround Environment,2
2021 Spring,GSD,HBSM,HBSMBA 1911 00,Agribusiness,1
2021 Spring,GSD,HBSM,HBSMBA 2031 1,Leadership Execution and Action Planning,2
2021 Spring,GSD,HBSM,HBSMBA 2031 2,Leadership Execution and Action Planning,2
2021 Spring,GSD,HBSM,HBSMBA 2134 00,Digital Innovation and Transformation,1
2021 Spring,GSD,HBSM,HBSMBA 2158 00,Demystifying the Family Enterprise,1
2021 Spring,GSD,HBSM,HBSMBA 2185 00,Innovating in Health Care,1
2021 Spring,GSD,HBSM,HBSMBA 2240 6,Negotiation,1
2021 Spring,GSD,HBSM,HBSMBA 6334 00,Field Course: Field Y: Projects in Business Management,1
2021 Spring,GSD,HBSM,HBSMBA 6702 00,Field Course: Product Management 102,1
2021 Spring,GSD,HBSM,HBSMBA 6913 00,Field Course: Business of the Arts,3
2021 Spring,GSD,HDS,HDS 2061 01,"Finding Beauty In a Broken World: Bearing Witness through Reading, Writing and Storytelling",1
2021 Spring,GSD,HDS,HDS 2733 01,American Democracy,4
2021 Spring,GSD,HDS,HDS 3166 01,Ecotheology,1
2021 Spring,GSD,HGSE,EDUA011S 01,Getting to Pilot-Ready (in Six Weeks),1
2021 Spring,GSD,HGSE,EDUA101 01,Native Americans in the 21st Century: Nation-Building I,1
2021 Spring,GSD,HGSE,EDUA111C 01,Politics and Education Change: Case Studies,1
2021 Spring,GSD,HGSE,EDUA608 01,"Leadership, Entrepreneurship, and Learning",1
2021 Spring,GSD,HGSE,EDUA608 02,"Leadership, Entrepreneurship, and Learning",1
2021 Spring,GSD,HGSE,EDUH606 01,Mindfulness for Inner Strengths and Healing the Impacts of Injustice,1
